"","wind_speed","total_errors"
"1290",10,0
"697",8,0
"1913",11,2
"1636",10,5
"86",8,0
"449",5,1
"984",0,0
"187",7,0
"416",3,2
"2072",0,2
"669",6,1
"450",13,3
"1998",0,0
"2106",9,1
"2016",0,4
"2347",18,1
"368",5,0
"2237",7,0
"933",0,0
"1018",14,0
"1563",14,2
"769",5,0
"1197",7,1
"1842",5,3
"247",17,1
"506",0,1
"323",10,1
"1156",12,0
"1952",5,3
"1614",11,3
"1525",4,1
"861",18,0
"1096",7,2
"1531",19,2
"1277",2,1
"2251",12,1
"1765",0,1
"2057",12,1
"2335",0,1
"675",7,2
"832",3,3
"762",7,1
"2028",6,0
"426",9,2
"521",5,2
"1012",11,0
"1773",5,0
"1957",7,2
"497",16,2
"1502",6,1
"1352",0,0
"868",19,1
"2395",7,0
"1867",11,0
"44",3,0
"1389",6,1
"1360",9,4
"269",6,1
"461",8,1
"151",11,0
"1339",7,4
"2070",11,4
"1993",16,3
"1504",5,0
"2199",0,0
"1814",2,1
"40",0,0
"1874",10,0
"137",3,3
"1529",10,0
"997",12,2
"1986",0,2
"1063",0,4
"845",0,2
"1447",0,2
"170",9,3
"2041",8,0
"558",5,3
"2043",8,1
"1669",17,2
"1937",11,0
"1446",0,2
"273",7,2
"912",5,1
"1198",0,0
"1298",1,3
"1300",7,1
"1671",17,4
"1204",15,2
"2430",3,1
"799",3,3
"1250",13,0
"595",7,0
"2367",3,4
"806",5,2
"2419",6,4
"2213",15,0
"242",0,1
"2086",7,2
"2369",10,0
"2411",8,3
"2206",12,2
"1782",0,0
"1433",0,2
"533",10,2
"1727",11,2
"200",9,2
"413",0,3
"592",3,1
"610",9,1
"236",0,0
"607",8,1
"1294",8,2
"1494",8,1
"1209",0,1
"490",0,0
"2088",13,1
"1804",4,0
"1564",0,0
"362",0,1
"640",11,3
"572",15,0
"428",12,0
"202",7,1
"2336",12,0
"330",11,3
"2246",13,2
"1133",0,1
"1072",4,0
"2279",3,1
"226",10,1
"1405",11,1
"2371",6,3
"1439",10,1
"216",6,2
"597",5,0
"1429",5,1
"26",0,1
"555",10,1
"1207",0,3
"429",9,1
"1013",10,2
"121",4,4
"1655",14,0
"1006",8,2
"808",6,1
"778",5,0
"2102",3,1
"1890",13,2
"489",10,1
"850",3,0
"1025",12,0
"2455",6,0
"350",2,0
"27",11,1
"1242",11,0
"1374",0,1
"320",8,2
"801",4,0
"379",10,0
"1803",17,0
"898",6,0
"2224",6,0
"1350",6,2
"1818",13,0
"124",3,2
"1750",21,2
"8",6,1
"167",17,0
"1894",5,3
"1792",0,1
"1274",8,1
"314",11,1
"9",7,3
"1186",15,1
"2208",9,1
"711",3,0
"171",4,3
"1787",6,1
"1089",7,1
"647",0,2
"493",10,2
"659",9,1
"1059",0,1
"275",0,3
"287",0,2
"2400",5,1
"1370",9,0
"2081",0,2
"2005",11,0
"160",6,1
"1604",5,0
"616",14,3
"2230",13,3
"113",15,2
"1767",0,0
"2111",10,2
"301",0,0
"1021",0,1
"19",0,0
"1786",9,2
"1845",11,2
"370",11,2
"2268",17,1
"615",7,0
"701",2,1
"591",12,0
"1263",12,0
"2058",15,2
"2294",7,0
"440",2,1
"68",15,0
"1938",14,1
"2079",7,2
"510",3,1
"180",9,1
"233",12,0
"10",8,0
"2380",17,3
"767",5,0
"2436",5,1
"745",17,1
"1620",9,2
"1624",9,1
"512",0,0
"197",0,0
"1851",1,1
"2285",10,1
"230",1,0
"2238",9,1
"2422",17,1
"2414",15,6
"2114",9,0
"831",0,1
"2162",5,2
"895",12,1
"447",7,0
"877",4,0
"2014",7,1
"249",8,2
"1288",11,1
"1015",8,0
"911",3,1
"503",11,2
"1581",17,3
"1552",13,0
"76",16,0
"1408",11,1
"437",0,1
"2145",5,0
"1320",8,0
"87",11,3
"1281",15,1
"208",6,0
"1699",8,2
"1213",6,2
"681",1,1
"75",23,1
"1509",5,1
"1755",13,0
"168",7,0
"1349",0,0
"1411",3,0
"918",8,3
"1451",8,2
"91",23,3
"1656",25,1
"807",6,0
"1593",13,1
"754",11,0
"364",0,0
"1052",1,1
"2223",11,1
"1321",9,1
"64",9,2
"1271",4,2
"1026",3,3
"1977",12,2
"112",7,2
"1532",3,1
"1830",5,3
"1278",7,1
"902",13,5
"1622",13,0
"1289",11,0
"1730",9,1
"186",14,2
"1675",18,1
"1047",5,1
"1120",6,1
"672",5,2
"1747",13,2
"264",4,1
"543",13,0
"1536",0,2
"2032",4,1
"2147",15,0
"114",0,2
"622",8,2
"1387",15,0
"2254",9,1
"2204",14,4
"1964",6,0
"118",0,1
"2233",21,1
"1694",5,1
"421",13,2
"2329",5,1
"624",5,2
"920",14,0
"156",9,2
"1302",6,2
"2420",21,2
"1610",8,1
"2425",19,6
"721",4,0
"84",7,5
"2",24,0
"1774",11,0
"722",13,1
"567",3,0
"98",9,3
"725",2,0
"1344",6,2
"1507",6,0
"1812",11,0
"2144",9,1
"795",0,2
"405",10,0
"422",1,0
"2044",0,1
"2075",15,1
"2304",15,1
"670",9,1
"676",14,1
"1810",4,0
"1477",5,2
"1762",4,2
"1972",0,2
"1587",11,0
"642",12,0
"1898",3,0
"2161",10,1
"176",9,0
"1054",4,2
"1586",13,0
"2462",0,1
"1490",0,2
"520",3,2
"282",8,0
"890",9,0
"2278",15,2
"1153",9,1
"1577",0,4
"2007",7,1
"1303",16,0
"2442",15,3
"1129",5,1
"229",6,2
"1471",7,1
"1243",7,4
"1383",4,1
"542",6,1
"532",7,0
"1846",0,0
"1658",17,4
"727",10,0
"2002",3,1
"1254",14,2
"1516",14,2
"1758",13,0
"1078",5,0
"2401",10,1
"916",2,3
"619",10,2
"529",4,1
"5",0,1
"1708",8,0
"1689",7,0
"2323",9,1
"657",13,2
"224",7,3
"1550",7,3
"1227",4,1
"569",13,0
"1220",0,0
"2048",5,5
"1899",17,0
"2074",6,0
"132",9,1
"1092",8,4
"178",3,0
"2142",0,1
"1393",9,1
"863",9,0
"474",15,3
"780",0,0
"964",7,0
"2109",0,1
"1798",13,0
"1161",10,0
"636",15,2
"2190",15,0
"338",18,0
"2042",16,0
"1948",13,1
"1084",6,0
"195",7,0
"2148",8,2
"1687",9,0
"1351",0,0
"136",5,1
"744",9,1
"89",12,0
"1217",12,1
"277",0,1
"79",0,1
"291",13,2
"2362",12,1
"1002",5,0
"225",7,4
"1775",5,1
"271",1,0
"1684",4,1
"2023",6,1
"909",9,0
"976",6,5
"608",5,2
"2240",0,2
"1457",12,0
"2077",6,0
"172",9,1
"2239",5,0
"1423",11,0
"573",12,1
"296",4,4
"2390",22,2
"488",15,2
"957",0,4
"2139",9,0
"1163",7,0
"2243",0,1
"479",4,3
"970",13,1
"1735",0,0
"1395",0,2
"2332",17,0
"1154",8,0
"1854",17,1
"2301",9,0
"1476",16,1
"2271",11,0
"2110",16,1
"1148",0,1
"1876",10,0
"528",8,1
"1565",6,0
"2394",1,1
"1947",5,0
"308",11,0
"32",14,2
"443",6,2
"2030",6,0
"758",15,1
"2089",12,0
"550",2,1
"1697",1,3
"1834",7,0
"1295",4,0
"655",2,2
"1632",7,2
"1064",10,0
"1211",18,0
"398",0,0
"1764",13,2
"1870",9,0
"2095",0,0
"1348",16,0
"1238",0,1
"611",11,0
"1098",14,3
"719",9,0
"600",7,4
"1886",9,0
"1554",11,1
"1501",8,1
"2234",0,4
"846",7,2
"1673",6,1
"1949",14,1
"750",12,2
"2193",3,0
"332",0,3
"123",3,1
"1997",0,1
"1232",18,0
"726",4,2
"544",3,0
"1691",10,1
"781",6,2
